study;condition_arm1;condition_arm2;multi_arm1;multi_arm2;outcome_domain;outcome_type;instrument;time;time_weeks;rating;baseline_m_arm1;baseline_m_arm2;baseline_sd_arm1;baseline_sd_arm2;mean_arm1;mean_arm2;sd_arm1;sd_arm2;n_arm1;n_arm2;m_change_arm1;m_change_arm2;sd_change_arm1;sd_change_arm2;n_change_arm1;n_change_arm2;event_arm1;event_arm2;totaln_arm1;totaln_arm2;precalc_g;precalc_g_se;precalc_log_rr;precalc_log_rr_se;.id;.g;.g_se;.log_rr;.log_rr_se;outcome_hierachy;rob_domain1;rob_domain2;rob_domain3;rob_domain4;rob_domain5;rob_overall;protocol;country;recruitment;incentive;specify_incentive;target_group;manual;program_name;guidance;setting_arm1;setting_arm2;internet_based;no_sessions_arm1;no_sessions_arm2;time_total_arm1;time_total_arm2;duration_therapy_arm1;duration_therapy_arm2;sessions_weekly_arm1;sessions_weekly_arm2;duration_session_arm1;duration_session_arm2;ave_modules_completed_arm1;ave_modules_completed_arm2;sd_modules_completed_arm1;sd_modules_completed_arm2;prop_modules_completed_arm1;m_age_arm1;m_age_arm2;sd_age_arm1;sd_age_arm2;female_arm1;female_arm2;female_total;prop_female_total;n_allocation_arm1;n_allocation_arm2;n_total_allocation;n_start_arm1;n_start_arm2;n_total_start;n_comp_arm1;n_comp_arm2;n_total_comp;reasons_partref;reasons_treatref;reasons_preterm;diagnosis_how;diagnosis_which;m_no_symptoms_arm1;m_no_symptoms_arm2;sd_no_symptoms_arm1;sd_no_symptoms_arm2;m_duration_symptoms_arm1;m_duration_symptoms_arm2;sd_duration_symptoms_arm1;sd_duration_symptoms_arm2;comorbidities_ex;specify_comorbidities_ex;consumer_satis;specify_consumer_satis;neg_eff;specify_neg_eff
alda, 2011;cbt;tau;NA;NA;som;msd;vas;post;10;self-report;64,2;64,72;10,78;10,44;36,88;64,72;8,29;7,48;49;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;alda_2011_msd_vas_post_10.0_self-report_cbt_tau_NA_NA;-3,491827832;0,327674858;NA;NA;primary;low;low;low;high;some concerns;high;ISRCTN registry, ISRCTN10804772, https://www.isrctn.com/ISRCTN10804772, Effectiveness of the psychological and pharmacological treatment of catastrophization in patients with fibromyalgia: a randomized controlled trial, https://pubmed.ncbi.nlm.nih.gov/19389246/;es;clinical;no;NA;adults;yes;manual based protocol derived from Thorn'a model;psy;group;NA;no;10;NA;900;NA;11;NA;0,91;NA;90;NA;NA;NA;NA;NA;NA;46,35;47,04;6,71;6,53;54;53;107;0,95;57;56;113;57;55;112;43;53;96;NA;NA;NA;clinical interview;fm;NA;NA;NA;NA;154,92;140,28;85,8;48,24;yes;those excluded were patients with severe axis I psychiatric disorders (dementia, schizophrenia, paranoid disorder and alcohol and/or drug abuse), patients with severe axis II psychiatric disorders or other medical disorders that, from the clinician’s point of view, prevented the patient from following the treatment protocol, women who were pregnant or nursing, and those who declined to participate.;no;NA;no;NA
alda, 2011;cbt;tau;NA;NA;som;msd;vas;follow up;34;self-report;64,2;64,72;10,78;10,44;40,68;44,34;10,93;8,56;49;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;alda_2011_msd_vas_followup_34.0_self-report_cbt_tau_NA_NA;-0,36839478;0,207058627;NA;NA;primary;low;low;low;high;some concerns;high;ISRCTN registry, ISRCTN10804772, https://www.isrctn.com/ISRCTN10804772, Effectiveness of the psychological and pharmacological treatment of catastrophization in patients with fibromyalgia: a randomized controlled trial, https://pubmed.ncbi.nlm.nih.gov/19389246/;es;clinical;no;NA;adults;yes;manual based protocol derived from Thorn'a model;psy;group;NA;no;10;NA;900;NA;11;NA;0,91;NA;90;NA;NA;NA;NA;NA;NA;46,35;47,04;6,71;6,53;54;53;107;0,95;57;56;113;57;55;112;43;53;96;NA;NA;NA;clinical interview;fm;NA;NA;NA;NA;154,92;140,28;85,8;48,24;yes;those excluded were patients with severe axis I psychiatric disorders (dementia, schizophrenia, paranoid disorder and alcohol and/or drug abuse), patients with severe axis II psychiatric disorders or other medical disorders that, from the clinician’s point of view, prevented the patient from following the treatment protocol, women who were pregnant or nursing, and those who declined to participate.;no;NA;no;NA
alda, 2011;cbt;tau;NA;NA;depr;msd;hdrs;post;10;clinican;14,47;14,09;3,93;4,64;7,78;8,17;2,46;2,25;49;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;alda_2011_msd_hdrs_post_10.0_clinican_cbt_tau_NA_NA;-0,163867893;0,205647605;NA;NA;primary;low;low;low;high;some concerns;high;ISRCTN registry, ISRCTN10804772, https://www.isrctn.com/ISRCTN10804772, Effectiveness of the psychological and pharmacological treatment of catastrophization in patients with fibromyalgia: a randomized controlled trial, https://pubmed.ncbi.nlm.nih.gov/19389246/;es;clinical;no;NA;adults;yes;manual based protocol derived from Thorn'a model;psy;group;NA;no;10;NA;900;NA;11;NA;0,91;NA;90;NA;NA;NA;NA;NA;NA;46,35;47,04;6,71;6,53;54;53;107;0,95;57;56;113;57;55;112;43;53;96;NA;NA;NA;clinical interview;fm;NA;NA;NA;NA;154,92;140,28;85,8;48,24;yes;those excluded were patients with severe axis I psychiatric disorders (dementia, schizophrenia, paranoid disorder and alcohol and/or drug abuse), patients with severe axis II psychiatric disorders or other medical disorders that, from the clinician’s point of view, prevented the patient from following the treatment protocol, women who were pregnant or nursing, and those who declined to participate.;no;NA;no;NA
alda, 2011;cbt;tau;NA;NA;depr;msd;hdrs;follow up;34;clinican;14,47;14,09;3,93;4,64;7,91;8,57;2,5;2,47;49;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;alda_2011_msd_hdrs_followup_34.0_clinican_cbt_tau_NA_NA;-0,263389826;0,206199899;NA;NA;primary;low;low;low;high;some concerns;high;ISRCTN registry, ISRCTN10804772, https://www.isrctn.com/ISRCTN10804772, Effectiveness of the psychological and pharmacological treatment of catastrophization in patients with fibromyalgia: a randomized controlled trial, https://pubmed.ncbi.nlm.nih.gov/19389246/;es;clinical;no;NA;adults;yes;manual based protocol derived from Thorn'a model;psy;group;NA;no;10;NA;900;NA;11;NA;0,91;NA;90;NA;NA;NA;NA;NA;NA;46,35;47,04;6,71;6,53;54;53;107;0,95;57;56;113;57;55;112;43;53;96;NA;NA;NA;clinical interview;fm;NA;NA;NA;NA;154,92;140,28;85,8;48,24;yes;those excluded were patients with severe axis I psychiatric disorders (dementia, schizophrenia, paranoid disorder and alcohol and/or drug abuse), patients with severe axis II psychiatric disorders or other medical disorders that, from the clinician’s point of view, prevented the patient from following the treatment protocol, women who were pregnant or nursing, and those who declined to participate.;no;NA;no;NA
alda, 2011;cbt;tau;NA;NA;anx;msd;ham-a;post;10;clinican;10,84;9,5;4,27;2,98;7,09;7,4;2,96;2,18;49;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;alda_2011_msd_ham-a_post_10.0_clinican_cbt_tau_NA_NA;-0,117730889;0,205478559;NA;NA;primary;low;low;low;some concerns;some concerns;some concerns;ISRCTN registry, ISRCTN10804772, https://www.isrctn.com/ISRCTN10804772, Effectiveness of the psychological and pharmacological treatment of catastrophization in patients with fibromyalgia: a randomized controlled trial, https://pubmed.ncbi.nlm.nih.gov/19389246/;es;clinical;no;NA;adults;yes;manual based protocol derived from Thorn'a model;psy;group;NA;no;10;NA;900;NA;11;NA;0,91;NA;90;NA;NA;NA;NA;NA;NA;46,35;47,04;6,71;6,53;54;53;107;0,95;57;56;113;57;55;112;43;53;96;NA;NA;NA;clinical interview;fm;NA;NA;NA;NA;154,92;140,28;85,8;48,24;yes;those excluded were patients with severe axis I psychiatric disorders (dementia, schizophrenia, paranoid disorder and alcohol and/or drug abuse), patients with severe axis II psychiatric disorders or other medical disorders that, from the clinician’s point of view, prevented the patient from following the treatment protocol, women who were pregnant or nursing, and those who declined to participate.;no;NA;no;NA
alda, 2011;cbt;tau;NA;NA;anx;msd;ham-a;follow up;34;clinican;10,84;9,5;4,27;2,98;7,25;7,58;3,02;2,07;49;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;alda_2011_msd_ham-a_followup_34.0_clinican_cbt_tau_NA_NA;-0,125704968;0,205503825;NA;NA;primary;low;low;low;some concerns;some concerns;some concerns;ISRCTN registry, ISRCTN10804772, https://www.isrctn.com/ISRCTN10804772, Effectiveness of the psychological and pharmacological treatment of catastrophization in patients with fibromyalgia: a randomized controlled trial, https://pubmed.ncbi.nlm.nih.gov/19389246/;es;clinical;no;NA;adults;yes;manual based protocol derived from Thorn'a model;psy;group;NA;no;10;NA;900;NA;11;NA;0,91;NA;90;NA;NA;NA;NA;NA;NA;46,35;47,04;6,71;6,53;54;53;107;0,95;57;56;113;57;55;112;43;53;96;NA;NA;NA;clinical interview;fm;NA;NA;NA;NA;154,92;140,28;85,8;48,24;yes;those excluded were patients with severe axis I psychiatric disorders (dementia, schizophrenia, paranoid disorder and alcohol and/or drug abuse), patients with severe axis II psychiatric disorders or other medical disorders that, from the clinician’s point of view, prevented the patient from following the treatment protocol, women who were pregnant or nursing, and those who declined to participate.;no;NA;no;NA
alda, 2011;cbt;tau;NA;NA;phs;msd;fiq;post;10;self-report;-65,91;-64,48;10,85;10,5;-46,21;-48,64;9,18;6,77;49;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;alda_2011_msd_fiq_post_10.0_self-report_cbt_tau_NA_NA;0,297432169;0,206447393;NA;NA;primary;low;low;low;high;some concerns;high;ISRCTN registry, ISRCTN10804772, https://www.isrctn.com/ISRCTN10804772, Effectiveness of the psychological and pharmacological treatment of catastrophization in patients with fibromyalgia: a randomized controlled trial, https://pubmed.ncbi.nlm.nih.gov/19389246/;es;clinical;no;NA;adults;yes;manual based protocol derived from Thorn'a model;psy;group;NA;no;10;NA;900;NA;11;NA;0,91;NA;90;NA;NA;NA;NA;NA;NA;46,35;47,04;6,71;6,53;54;53;107;0,95;57;56;113;57;55;112;43;53;96;NA;NA;NA;clinical interview;fm;NA;NA;NA;NA;154,92;140,28;85,8;48,24;yes;those excluded were patients with severe axis I psychiatric disorders (dementia, schizophrenia, paranoid disorder and alcohol and/or drug abuse), patients with severe axis II psychiatric disorders or other medical disorders that, from the clinician’s point of view, prevented the patient from following the treatment protocol, women who were pregnant or nursing, and those who declined to participate.;no;NA;no;NA
alda, 2011;cbt;tau;NA;NA;phs;msd;fiq;follow up;34;self-report;-65,91;-64,48;10,85;10,5;-48,8;-53,26;9,11;7,54;49;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;alda_2011_msd_fiq_followup_34.0_self-report_cbt_tau_NA_NA;0,527468915;0,208891359;NA;NA;primary;low;low;low;high;some concerns;high;ISRCTN registry, ISRCTN10804772, https://www.isrctn.com/ISRCTN10804772, Effectiveness of the psychological and pharmacological treatment of catastrophization in patients with fibromyalgia: a randomized controlled trial, https://pubmed.ncbi.nlm.nih.gov/19389246/;es;clinical;no;NA;adults;yes;manual based protocol derived from Thorn'a model;psy;group;NA;no;10;NA;900;NA;11;NA;0,91;NA;90;NA;NA;NA;NA;NA;NA;46,35;47,04;6,71;6,53;54;53;107;0,95;57;56;113;57;55;112;43;53;96;NA;NA;NA;clinical interview;fm;NA;NA;NA;NA;154,92;140,28;85,8;48,24;yes;those excluded were patients with severe axis I psychiatric disorders (dementia, schizophrenia, paranoid disorder and alcohol and/or drug abuse), patients with severe axis II psychiatric disorders or other medical disorders that, from the clinician’s point of view, prevented the patient from following the treatment protocol, women who were pregnant or nursing, and those who declined to participate.;no;NA;no;NA
alda, 2011;cbt;tau;NA;NA;phs;msd;euroqol-vas;post;10;self-report;44,55;43,87;16,67;14,5;60,46;52,26;16,63;14,03;49;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;alda_2011_msd_euroqol-vas_post_10.0_self-report_cbt_tau_NA_NA;0,527246003;0,208888349;NA;NA;secondary;NA;NA;NA;NA;NA;NA;ISRCTN registry, ISRCTN10804772, https://www.isrctn.com/ISRCTN10804772, Effectiveness of the psychological and pharmacological treatment of catastrophization in patients with fibromyalgia: a randomized controlled trial, https://pubmed.ncbi.nlm.nih.gov/19389246/;es;clinical;no;NA;adults;yes;manual based protocol derived from Thorn'a model;psy;group;NA;no;10;NA;900;NA;11;NA;0,91;NA;90;NA;NA;NA;NA;NA;NA;46,35;47,04;6,71;6,53;54;53;107;0,95;57;56;113;57;55;112;43;53;96;NA;NA;NA;clinical interview;fm;NA;NA;NA;NA;154,92;140,28;85,8;48,24;yes;those excluded were patients with severe axis I psychiatric disorders (dementia, schizophrenia, paranoid disorder and alcohol and/or drug abuse), patients with severe axis II psychiatric disorders or other medical disorders that, from the clinician’s point of view, prevented the patient from following the treatment protocol, women who were pregnant or nursing, and those who declined to participate.;no;NA;no;NA
allen, 2006;cbt;tau;NA;NA;som;msd;sss;post;12;self-report;61,88;56,22;30,23;30,22;38,26;48,71;25,64;25,42;43;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;allen_2006_msd_sss_post_12.0_self-report_cbt_tau_NA_NA;-0,405520737;0,220551854;NA;NA;primary;some concerns;low;low;high;some concerns;high;NA;us;combined;no;NA;adults;yes;treating somatizazion: a cognitive-behavioral appraoch (woolfolk and allen);psy;individual;NA;no;10;NA;600;NA;12;NA;NA;NA;60;NA;NA;NA;NA;NA;NA;45,47;47,85;8,45;10,99;36;39;75;0,89;43;41;84;43;41;84;39;38;77;NA;NA;NA;clinical interview;sd (dsm-iv);NA;NA;NA;NA;299,4;300;138,48;181,44;yes;an unstable major medical condition, a medication regimen that had not been stable for at least 2 months prior to baseline, active suicidal ideation, a history of psychosis, or current psychoactive substance dependence;no;NA;no;NA
